CHECK PLAN
NWESWEWWEENSNNEWWENWNWWEEEEWSSWEEWWWSWNSSSSNESNESNNSSWWSEEEEWNNSWNWESSSWWNWNNSWEEEEWSSENWENWWSNSENEWWEWWNNWNSEESNSNSESENNWNEWWENSSWNNESWSWNENWSNNNENWSSSNNESWSWNWSSNSSWWNWWNSWSNNENWWSWENWSNEWESNSNSESWWEEEEEWSSWSWEENENWSESWWSWENSNNSWENNNNNSSWWENEWWWESENSSEWWEWNWWSESWSWSNWNNSWWSESWSWEEEWSEENSENWNEWSWSSSWSENEENSNSWNWESWNEESSWENEWNENNNESWNNEWNEENNNSSSNWEWWWNSNSNNWEENEWESENWESEENNNWSEWWSENEEWSNWNNNNENSWWWWENEEESEWEWESWNSWSNNNESSSWWSSNNEEEENSEWEESEWWSESSSSSSSWWSSWSWNEWWESSWNEEESWEEEEWSNNNWNENWWWWNWNNSWNESSESEEWSNWSEEWNWNENNNNWENENNWSNNSNENNEWNSNEWEWNWNNWEENEENWWEEWWNNNNSWEWWNNENSWEWENESSNWNNWWSNSWNWWEENWESNSNSNEWEWNSWENWSEWWEWSNNEWSNWNEEEESENSSWNEESNWESENNSSWEWWENNNSNWWNSEWSSNWNSWEEEESNNNWNWEESSWENNEWSWEWEENNNNWSSEEENNEWWNSSNNWNESSNSSESSWWNSNNWWENESEEWNSSNNNSWSEEWSSNESSEEWWSNWSSEWNNWSWENSNWENEENSNWENNNEWESSNNSENSSNEWWESENSWESSNNWSNSSWNEEWWNEWENSNWEESEWSNSWEEEWWEWEENENWEESWNSWNNNEEWNWWWEWNSEWWEENWSEENWEWNESWNNWWESWSSESENNEWSNWWNSESNNWWWNENESEWWSEWNSSNWSWEWWWSSWWWNENSENSNENEEWNSNSSNEWWSSSWNNWNEENNSSNNWSWNWNEESSWSWWNESEEEESNWSNNSWWWSESNESWNSWESENWWSWEWNWNSWEWNEWSNSESENWWSWSNSEEESSNWNWEWNSWWNNWSEENWEWENWWEENSNWEWWSEWWENWSWENEWSWSENSENNSSNSWSNNEWWSWSWWNWWNWESSEWWSNWNENNWWNWNESSWEWWESNWWWSWNESSWEWSWWESNSESSSEWSNWSWEWNSSNEEWEENSESWWNWNNNNEWWNESEEWEWWESSWSSNSESWSESNEWSEWNSWEESWWENESSNWWESNSNSWSSSNWENSNSSNNSESENSWNWNENNEESSESSEEWSEWNNENWEWWWWNWSNNNNWWENSNWWENSESENNSWSEWEWSENNESNWESNWESSENWNNEWWNWEEWEESWEWNWESSWNWESSSWSNWWEWNESESSSSS
XXXXXXXXXXXXXXXXXX
XXXXX P X  XXXXXXX
XXXX        XXXXXX
XXXX         XXXXX
XXXX XXX     XXXXX
XXXXXXXX      XXXX
XXXXXXXX        XX
XXXXXXXX        XX
XXXXXXXX      P XX
XXXXXXXX       XXX
XXXXXXXXX       XX
XXXXXXXXXXXXXXXXXX
