ProblemNo,Connection,Cost
0,11472 : 3 -> 5 ; 18233 : 27 -> 28,3
1,15159 : 4 -> 6,2
2,18233 : 3 -> 4 ; 12973 : 2 -> 3 ; 17019 : 9 -> 26,19
3,10001 : 11 -> 12 ; 11472 : 1 -> 7 ; 12062 : 9 -> 10 ; 11472 : 9 -> 18 ; 12973 : 2 -> 7 ; 19713 : 2 -> 3,23
4,17019 : 6 -> 11 ; 11471 : 14 -> 16 ; 18233 : 29 -> 30,8
5,12183 : 9 -> 10,1
6,17019 : 13 -> 14,1
7,19713 : 11 -> 12 ; 17019 : 10 -> 11 ; 11471 : 14 -> 19 ; 18233 : 34 -> 44 ; 15159 : 28 -> 35 ; 18233 : 55 -> 59,28
8,11471 : 5 -> 6 ; 19713 : 10 -> 12,3
9,19713 : 2 -> 7 ; 17019 : 8 -> 21,18
10,57129 : 9 -> 10 ; 11424 : 15 -> 16 ; 11028 : 36 -> 37 ; 02882 : 6 -> 7 ; 11014 : 32 -> 33 ; 12293 : 2 -> 3 ; 12141 : 6 -> 7 ; 22356 : 3 -> 4 ; 12167 : 13 -> 14 ; 12236 : 6 -> 7 ; 11033 : 25 -> 26 ; 04408 : 10 -> 12 ; 11124 : 44 -> 45 ; 13021 : 31 -> 32,15
11,59547 : 15 -> 16 ; 19006 : 19 -> 20 ; 11087 : 9 -> 10 ; 12937 : 4 -> 5 ; 12217 : 16 -> 17 ; 11203 : 16 -> 18,7
12,16236 : 27 -> 28 ; 12694 : 7 -> 8 ; 16235 : 10 -> 11,3
13,11030 : 9 -> 10 ; 11005 : 9 -> 10 ; 12629 : 7 -> 8 ; 22695 : 4 -> 5 ; 12298 : 4 -> 5 ; 16534 : 24 -> 25 ; 19107 : 2 -> 5 ; 12456 : 2 -> 3 ; 54702 : 9 -> 10,11
14,18204 : 3 -> 4 ; 12536 : 11 -> 12 ; 22805 : 18 -> 19 ; 12952 : 1 -> 2 ; 14709 : 12 -> 13 ; 12182 : 14 -> 15 ; 59821 : 10 -> 12,8
15,11205 : 20 -> 21 ; 16734 : 24 -> 25 ; 12251 : 9 -> 10 ; 12513 : 2 -> 3 ; 00851 : 4 -> 5 ; 07717 : 2 -> 3,6
16,58502 : 11 -> 16 ; 18006 : 1 -> 3 ; 18212 : 3 -> 4 ; 12808 : 34 -> 35 ; 12835 : 10 -> 11 ; 02509 : 6 -> 7 ; 22202 : 2 -> 3 ; 22213 : 3 -> 6,15
17,54806 : 57 -> 59 ; 16533 : 4 -> 5 ; 12268 : 1 -> 2 ; 22209 : 1 -> 2 ; 12017 : 1 -> 2 ; 12260 : 2 -> 3 ; 12274 : 3 -> 4 ; 13007 : 1 -> 2 ; 13145 : 3 -> 4 ; 53003 : 15 -> 16,11
18,59014 : 8 -> 9 ; 13425 : 26 -> 27 ; 12905 : 12 -> 13 ; 12141 : 6 -> 7 ; 11053 : 8 -> 9 ; 12141 : 8 -> 9 ; 12250 : 6 -> 7 ; 17005 : 18 -> 19 ; 11105 : 5 -> 6,9
19,57549 : 22 -> 23 ; 57550 : 35 -> 36 ; 17621 : 10 -> 11 ; 16572 : 1 -> 3 ; 12219 : 5 -> 6 ; 12649 : 5 -> 6 ; 22679 : 4 -> 5 ; 02590 : 7 -> 8 ; 22812 : 2 -> 3 ; 12306 : 6 -> 7 ; 12362 : 14 -> 15 ; 12253 : 25 -> 27 ; 13119 : 36 -> 37,15
20,15159 : 17 -> 18,4260
21,12183 : 4 -> 5 ; 12433 : 6 -> 10,22260
22,15159 : 7 -> 28,36240
23,18233 : 17 -> 19 ; 17019 : 10 -> 11 ; 11471 : 14 -> 17 ; 18233 : 31 -> 34,22740
24,17019 : 22 -> 23 ; 19713 : 26 -> 28 ; 17019 : 24 -> 29,29580
25,15159 : 9 -> 28 ; 18233 : 44 -> 47 ; 15159 : 29 -> 31 ; 18233 : 51 -> 54 ; 15159 : 34 -> 36 ; 18233 : 61 -> 62,47460
26,18233 : 68 -> 69,480
27,10001 : 4 -> 12 ; 18233 : 34 -> 45,28980
28,19713 : 16 -> 21,16320
29,18233 : 2 -> 4 ; 12973 : 2 -> 3 ; 18233 : 9 -> 10,6360
30,56502 : 48 -> 49 ; 07712 : 8 -> 9 ; 18464 : 18 -> 20 ; 17212 : 15 -> 16 ; 17232 : 18 -> 19 ; 12705 : 2 -> 3 ; 12514 : 29 -> 30 ; 12213 : 9 -> 11 ; 12159 : 7 -> 9 ; 19302 : 22 -> 23 ; 14010 : 18 -> 19 ; 59385 : 39 -> 41,32520
31,19802 : 7 -> 8 ; 14317 : 8 -> 9 ; 19802 : 10 -> 11 ; 12181 : 11 -> 12 ; 54811 : 34 -> 35 ; 59822 : 27 -> 29 ; 54811 : 37 -> 38 ; 59822 : 30 -> 31 ; 54811 : 39 -> 40 ; 12181 : 14 -> 15 ; 09807 : 2 -> 3 ; 12239 : 8 -> 9 ; 11204 : 1 -> 2 ; 14311 : 25 -> 26 ; 11204 : 3 -> 4 ; 08243 : 26 -> 27 ; 22478 : 4 -> 5 ; 12465 : 22 -> 23 ; 12461 : 15 -> 16 ; 17623 : 26 -> 27 ; 08245 : 30 -> 31 ; 12468 : 13 -> 15 ; 12456 : 1 -> 2 ; 54702 : 1 -> 3 ; 11013 : 25 -> 26 ; 12079 : 1 -> 2 ; 12836 : 1 -> 2 ; 12539 : 2 -> 3 ; 17315 : 16 -> 17 ; 12608 : 6 -> 8 ; 16779 : 3 -> 4 ; 22603 : 17 -> 18,48960
